Date,Close/Last,Volume,Open,High,Low
02/06/2026,$200.00,3744261,$199.40,$200.25,$197.94
02/05/2026,$197.93,4006807,$196.75,$199.73,$196.41
02/04/2026,$196.84,11261030,$201.52,$201.56,$196.40
02/03/2026,$201.39,6727161,$203.83,$203.85,$201.30
02/02/2026,$203.60,2064507,$203.81,$204.15,$203.55
01/30/2026,$203.92,4233663,$203.72,$203.995,$203.05
01/29/2026,$203.95,2661672,$203.94,$204.04,$203.62
01/28/2026,$203.94,1754255,$204.20,$204.43,$203.82
01/27/2026,$204.37,1283190,$204.18,$204.42,$204.11
01/26/2026,$204.40,1991778,$204.31,$204.50,$203.90
01/23/2026,$204.00,1644702,$204.23,$204.27,$203.89
01/22/2026,$204.38,1935355,$204.15,$204.48,$203.85
01/21/2026,$204.15,1446172,$203.91,$204.30,$203.85
01/20/2026,$204.00,2599915,$204.09,$204.20,$203.70
01/16/2026,$204.25,2067882,$204.18,$204.34,$204.15
01/15/2026,$204.15,1214827,$204.30,$204.37,$204.125
01/14/2026,$204.20,1261174,$204.28,$204.37,$204.19
01/13/2026,$204.33,2179545,$204.25,$204.60,$204.25
01/12/2026,$204.25,2744610,$204.10,$204.40,$204.05
01/09/2026,$204.10,1251774,$204.25,$204.28,$204.10
01/08/2026,$204.22,1548136,$204.33,$204.45,$204.20
01/07/2026,$204.50,1917735,$204.26,$204.51,$204.26
01/06/2026,$204.28,1551284,$204.36,$204.68,$204.25
01/05/2026,$204.36,1975078,$204.48,$204.56,$204.29
01/02/2026,$204.41,1944230,$204.40,$204.72,$204.26
12/31/2025,$204.33,1404090,$204.35,$204.885,$204.25
12/30/2025,$204.35,760794,$204.30,$204.51,$204.27
12/29/2025,$204.27,1388286,$204.46,$204.76,$204.26
12/26/2025,$204.79,474397,$204.58,$204.80,$204.38
12/24/2025,$204.78,469489,$204.24,$204.84,$204.24
12/23/2025,$204.27,1450244,$203.87,$204.38,$203.79
12/22/2025,$203.79,1194226,$204.19,$204.20,$203.75
12/19/2025,$203.92,5760577,$203.58,$204.50,$203.01
12/18/2025,$203.90,1467396,$203.80,$204.1799,$203.80
12/17/2025,$203.63,1964660,$204.15,$204.28,$203.49
12/16/2025,$204.20,1667816,$204.15,$204.33,$204.05
12/15/2025,$204.20,3225089,$203.92,$204.48,$203.72
12/12/2025,$203.73,2269883,$203.80,$203.96,$203.52
12/11/2025,$203.66,2393218,$203.55,$204.30,$203.40
12/10/2025,$203.51,2010119,$203.69,$203.80,$203.51
12/09/2025,$203.82,1886186,$203.65,$204.40,$203.60
12/08/2025,$203.53,1534664,$204.13,$204.64,$203.49
12/05/2025,$203.92,1936731,$203.32,$204.01,$203.32
12/04/2025,$203.44,1625375,$203.07,$203.58,$203.07
12/03/2025,$203.21,1516973,$202.93,$203.40,$202.80
12/02/2025,$203.24,2288373,$202.81,$203.40,$202.54
12/01/2025,$202.62,3570226,$201.99,$202.86,$201.70
11/28/2025,$202.03,896779,$201.865,$202.21,$201.75
11/26/2025,$201.92,1627257,$201.88,$202.04,$201.7189
11/25/2025,$201.66,1234267,$201.30,$201.9551,$201.24
11/24/2025,$201.05,3114537,$201.00,$201.91,$200.975
11/21/2025,$200.69,3904708,$201.30,$201.50,$200.575
11/20/2025,$201.12,1823512,$201.65,$202.235,$201.05
11/19/2025,$201.58,2024769,$201.33,$202.165,$201.33
11/18/2025,$201.81,2394511,$201.00,$202.14,$200.91
11/17/2025,$200.77,2944424,$201.42,$201.50,$200.71
11/14/2025,$201.06,1767488,$201.28,$201.82,$201.05
11/13/2025,$201.34,1727883,$201.80,$202.10,$201.33
11/12/2025,$202.00,2634485,$201.63,$202.22,$201.14
11/11/2025,$201.93,1717609,$201.44,$202.05,$201.14
11/10/2025,$201.40,1623203,$200.60,$201.53,$200.56
11/07/2025,$200.60,1755971,$200.57,$200.71,$200.37
11/06/2025,$200.38,1953206,$200.55,$200.99,$200.30
11/05/2025,$200.74,1301623,$200.53,$200.96,$200.40
11/04/2025,$200.78,1772238,$200.16,$200.81,$199.81
11/03/2025,$199.89,2618654,$200.05,$200.14,$199.755
10/31/2025,$200.06,2267258,$200.04,$200.45,$200.00
10/30/2025,$199.92,2144067,$200.20,$200.58,$199.74
10/29/2025,$200.20,2166734,$200.22,$200.60,$200.01
10/28/2025,$200.30,3019130,$200.61,$200.67,$200.25
10/27/2025,$200.50,1939285,$200.63,$200.90,$200.45
10/24/2025,$200.84,3406108,$200.66,$200.90,$200.53
10/23/2025,$200.62,3357439,$200.65,$200.76,$200.49
10/22/2025,$200.75,3836583,$200.46,$200.87,$200.31
10/21/2025,$200.55,2619994,$200.51,$200.705,$200.14
10/20/2025,$200.59,2322808,$200.545,$200.71,$200.40
10/17/2025,$200.30,4512065,$200.54,$200.745,$200.13
10/16/2025,$200.35,2631726,$200.75,$201.15,$200.245
10/15/2025,$200.75,3807297,$200.31,$201.11,$200.29
10/14/2025,$200.20,3145850,$200.11,$200.78,$200.035
10/13/2025,$200.29,2431568,$200.05,$200.62,$200.05
10/10/2025,$200.02,3524147,$200.04,$200.39,$199.80
10/09/2025,$200.05,3618268,$200.00,$200.255,$199.81
10/08/2025,$200.01,3883181,$200.34,$200.48,$200.00
10/07/2025,$200.02,3385236,$200.40,$200.60,$200.00
10/06/2025,$200.46,5540972,$200.67,$200.85,$200.38
10/03/2025,$200.69,3672125,$200.91,$201.25,$200.55
10/02/2025,$201.00,5497447,$201.52,$201.60,$200.80
10/01/2025,$201.63,3764653,$201.52,$202.31,$201.40
09/30/2025,$201.70,8930135,$201.75,$202.15,$201.30
09/29/2025,$202.05,22698540,$203.495,$203.75,$201.72
09/26/2025,$193.35,14485680,$173.00,$197.33,$170.08
09/25/2025,$168.32,1944289,$168.12,$169.1934,$167.79
09/24/2025,$167.35,3099094,$174.12,$174.9621,$166.10
09/23/2025,$174.07,2158910,$173.61,$175.26,$173.22
09/22/2025,$173.42,2842923,$173.69,$173.79,$171.72
09/19/2025,$173.09,8449842,$172.85,$174.69,$171.19
09/18/2025,$173.17,2354764,$172.93,$174.79,$171.8801
09/17/2025,$173.59,1883700,$172.22,$174.24,$170.51
09/16/2025,$172.08,3189333,$171.93,$175.56,$171.01
09/15/2025,$171.765,2042714,$171.52,$172.6875,$170.73
09/12/2025,$172.38,1996395,$169.59,$173.14,$169.00
09/11/2025,$169.89,2411062,$171.09,$171.27,$168.53
09/10/2025,$170.27,2832031,$165.81,$170.35,$164.50
09/09/2025,$166.04,2058823,$168.32,$168.32,$165.96
09/08/2025,$168.06,1691197,$169.44,$170.125,$167.18
09/05/2025,$168.62,2205558,$168.84,$169.32,$166.775
09/04/2025,$168.03,3410993,$168.17,$168.29,$165.53
09/03/2025,$167.86,2753096,$170.96,$171.96,$167.50
09/02/2025,$171.45,2359233,$170.00,$173.26,$169.7975
08/29/2025,$171.95,2090029,$171.23,$172.54,$170.67
08/28/2025,$170.99,2628473,$172.36,$173.75,$169.0101
08/27/2025,$172.60,2099966,$172.61,$173.7145,$171.72
08/26/2025,$172.23,2594407,$172.03,$173.25,$171.19
08/25/2025,$172.76,1928758,$171.61,$173.55,$170.99
08/22/2025,$171.40,1707317,$172.43,$173.11,$170.19
08/21/2025,$171.55,1655959,$170.71,$171.75,$170.02
08/20/2025,$171.33,2289881,$170.69,$172.49,$170.00
08/19/2025,$170.68,2413522,$168.66,$171.09,$167.445
08/18/2025,$169.16,3600169,$172.33,$173.41,$168.08
08/15/2025,$174.67,3428841,$179.12,$179.12,$172.94
08/14/2025,$179.01,3751072,$177.81,$180.90,$177.38
08/13/2025,$178.40,3571362,$177.79,$179.84,$177.00
08/12/2025,$177.91,3792689,$176.30,$178.80,$174.39
08/11/2025,$176.11,6125187,$170.565,$176.62,$170.10
08/08/2025,$167.64,4591323,$163.49,$167.76,$163.25
08/07/2025,$162.75,2856554,$164.25,$164.345,$161.15
08/06/2025,$163.00,2597901,$161.30,$163.07,$159.59
08/05/2025,$160.99,2933262,$161.70,$161.89,$159.10
08/04/2025,$159.77,2745280,$157.715,$160.32,$156.37
08/01/2025,$157.08,4396992,$152.76,$157.75,$151.50
07/31/2025,$152.49,3640962,$155.28,$156.19,$152.195
07/30/2025,$156.26,6044480,$151.895,$159.3699,$150.87
07/29/2025,$147.79,3172230,$152.41,$153.29,$146.97
07/28/2025,$151.99,2991350,$151.00,$152.88,$150.97
07/25/2025,$151.68,1450558,$152.96,$153.21,$151.48
07/24/2025,$152.64,2482517,$152.89,$153.97,$152.00
07/23/2025,$153.73,2586509,$156.62,$156.90,$153.29
07/22/2025,$157.02,3204556,$154.80,$158.65,$154.46
07/21/2025,$153.39,2758440,$150.30,$153.59,$149.785
07/18/2025,$150.11,3850801,$150.29,$151.92,$149.36
07/17/2025,$149.83,1828454,$149.00,$150.34,$148.56
07/16/2025,$149.35,1889635,$147.83,$150.09,$147.83
07/15/2025,$148.74,2075983,$148.60,$149.26,$146.97
07/14/2025,$148.83,2857100,$149.10,$150.29,$148.01
07/11/2025,$148.69,1840444,$151.14,$151.335,$148.37
07/10/2025,$151.30,1613126,$151.88,$152.91,$150.92
07/09/2025,$152.68,1845138,$153.11,$153.11,$151.31
07/08/2025,$152.64,1710458,$153.38,$154.0771,$152.35
07/07/2025,$153.53,2502828,$155.72,$156.155,$153.33
07/03/2025,$155.37,1321185,$157.36,$157.9899,$153.63
07/02/2025,$157.03,2901521,$158.41,$159.10,$156.76
07/01/2025,$159.06,3285442,$159.53,$160.985,$158.56
06/30/2025,$159.70,2698481,$157.74,$159.91,$156.86
